price,expenses,address,size,bedrooms,bathrooms,url,listing_url
Consultar Precio,90000,"Junín 1400, Piso 5
                ",120,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14995215
2300000,12000,"Esmeralda 1300, Piso 1
                ",155,3,3,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14922948
500000,30000,"Juncal 2400, Piso 8
                ",54,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14892187
Consultar Precio,52000,"Alvear al 1400
                ",290,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--11382453
Consultar Precio,55000,"Av Santa Fe al 1200
                ",150,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--11564351
990000,N/A,"Jerónimo Salguero 2200
                ",110,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14762936
1990000,100000,"Gelly Y Obes 2200
                ",163,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13833302
2000000,135000,"Gelly Y Obes 2200
                ",163,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13249469
2000000,135000,"Francisco De Vittoria 2300
                ",160,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14027514
600000,N/A,"Larrea 700
                ",70,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14899319
4200000,190000,"JUNCAL 2000
                ",200,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--12386485
Consultar Precio,68000,"Arenales 2400, Piso 4
                ",65,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14669598
Consultar Precio,43500,"Junin 1500, Piso 8
                ",155,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12803151
Consultar Precio,90000,"Juncal 700
                ",372,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12061333
Consultar Precio,120000,"Av Callao 1900, Piso 3
                ",260,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12497945
Consultar Precio,84000,"Marcelo T de Alvear  y Libertad
                ",126,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12742068
Consultar Precio,90000,"Uruguay al 1200
                ",150,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12974852
790000,210000,"Nicolas Rodriguez Peña 1100
                ",250,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--11991219
Consultar Precio,104000,"Austria 2100, Piso 10
                ",145,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14357240
Consultar Precio,124900,"Rodriguez Peña al 1700
                ",116,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14474340
1200000,84000,"Marcelo T de Alvear  y Libertad
                ",126,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14616053
900000,124900,"Rodriguez Peña al 1700
                ",116,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14805896
900000,124900,"Rodriguez Peña al 1700
                ",116,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14805895
850000,37000,"Avenida cordoba 2000
                ",89,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14851965
1300000,N/A,"Uruguay 1200
                ",123,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14176026
Consultar Precio,90000,"Juncal 700
                ",372,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--12060314
