address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp
"Talcahuano 1200, Piso 1
                ",USD,800,65000,110,3,3,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-5-ambientes--12125442,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Excelente departamento amueblado al frente en la mejor zona de buenos aires, zona residencial a metros de av santa fe muy luminoso con balcon a la calle . 3 dormitorios con escritorio o dependencia de servicio  3 baños y un toillete amplia cocina comedor diario  no te lo pierdas  intermediarios abstenerse consultame carlos las 24 hs",2024-01-08T17:47:11.449599
"Bulnes 1900
                ",$,800000,100000,86,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--11600842,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Dueño directo alquila lindo piso de 95 m2 al frente.  
Muy buena luz y ventilación. Excelente distribución.
Amplio living comedor. 3 dormitorios. 1 baño completo, 1 toilette con box de ducha.
Cocina y lavadero independientes.
Entrada principal por palier privado. Entrada de servicio. Doble circulación. 
Balcón corrido al frente y balcón francés a lateral en living.
Dependencia y baño de",2024-01-08T17:47:11.451771
"Virrey del Pino 2000
                ",$,950000,85000,100,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15121096,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Edificio 4 pisos , en la mejor esquina de belgrano , virrey del pino y ohiggins
es un depto planta baja , con 2 patios .
Entrando al edificio nos encotramos con un hall con chimenea todo en marmol .
Pasamos al depto living comedor separado , el living tiene una chimenea con muy buen tiraje . 
Ventana con rejas al exterior , toilette de recepcion.
Los ambientes tienen placas de ecosol para",2024-01-08T17:47:11.453679
"Av Gral Las Heras 3700
                ",USD,950,120000,85,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-botanico-3-ambientes--9078480,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Dueño directo alquila
departamento en la mejor zona de palermo
entrada principal por av. Las heras. Casi esquina scalabrini ortiz.
Vigilancia humana las 24 hs. Empresa de seguridad que trabaja hace más de 20 años con el consorcio del edificio
muchas líneas de colectivo, acceso a pocas cuadras subte línea d

no incluye muebles. Pintado hace 1 año.
3 dormitorios (2 habitaciones y dependencia cómo",2024-01-08T17:47:11.455471
"Beruti 3000, Piso 3
                ",USD,2000,200000,183,3,2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--15187524,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Semipiso en alquiler con espacio guardacoche movil y baulera.(Refaccionada año 2014)

la unidad al ingreso presenta un hall de recepción(placar de cortesia), baño completo invitados,3 dormitorios con  1 baño principal ,living en l con salida a balcón corrido, cocina independiente , amplio comedor diario, lavadero independiente + dependencia y baño de servicio. Todos los ambientes con generoso",2024-01-08T17:47:11.457278
"ARCOS 1900
                ",$,2400000,200000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-4-ambientes--14559641,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Edificio emblemático de belgrano 
casa del ángel 
tenis-piscina-sum-voley-gimnasio-juegos para niños 
tres dormitorios-suite 
baño adicional 
cochera fija 
vigilancia las 24 horas 
amoblado y equipado 
115 metros cubiertos 
en lo mejor de belgrano 
a metros de shopping-subte (linea d) 
supermercados-farmacias-colegio, etc 
muy fácil acceso

las especificaciones y medidas, asi como se expresan son",2024-01-08T17:47:11.459084
"Palpa 2400, Piso 4
                ",$,800000,100000,85,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15040853,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Listo para ingresar, ajuste semestral por ipc o indíce de alquileres

muy lindo departamento en excelente zona
4to piso al frente en calle donde no pasan colectivos
liiving amplio y muy luminoso, con gran balcón de 6 metros de largo x 1,5

3 dormitorios amplios
baño completo y tiolette con ducha
lavadero independiente

cochera amplia, de fácil acceso, con apertura automática

no tiene aire",2024-01-08T17:47:11.461017
"Virrey Del Pino 2600, Piso 1
                ",USD,1200,110000,100,3,N/A,https://www.argenprop.com/ph-en-alquiler-en-belgrano-r-4-ambientes--15064219,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Departamento amplio y luminoso de cuatro ambientes, un baño, dos toilletes uno en suite. En la calle sobre virrey del pino a dos cuadras de la av. Cabildo y la estación de subte josé hernandez. Está amueblado y completamente equipado.  Tiene wifi. 1200 usd más expensas",2024-01-08T17:47:11.462728
"Blanco Encalada 2300, Piso 16
                ",$,600000,110000,86,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15120212,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Bco encalada 2300 y av cabildo
impecable 4 ambientes. Apto profesional. Contrafrente orientación ne. Living comedor a balcón corrido. Toilette de recepción con ducha. 3 dormitorios. 1 baño completo. Cocina office. Lavadero cubierto. Recien pintado y plastificado. 2 aires acondicionados. Calefacción por losa radiante. Puerta blindada. Edificio de 34 años con vigilancia 24hs. Sum. $600.000",2024-01-08T17:47:11.464440
"Junín 1100, Piso 8
                ",USD,1000,N/A,148,3,4,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--15144520,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios?pagina-1,"Barrio norte 4 ambientes temporario
 
  junin 1100 y av santa fe

piso 8° de 148 m2 

al frente y contrafrente

 2 cocheras

con o sin muebles

temporario

mucha luz balcón 

3dormitorios, 1 en suite 

4 baños 

cocina comedor diario integrada

dependencia de servicio

baulera

u$s 1000 sin muebles
u$s 2000 con muebles 

(minimo 6 meses)


comunicarse por whatsapp

********",2024-01-08T17:47:11.466619
